seller_nickname,seller_size,performance_level,strategy
0007153bca,Core Seller,Diamante,"1) Objetivo principal  
Maximizar el rendimiento comercial del seller 0007153bca, un Core Seller con nivel Diamante, mediante la optimización de su catálogo, precios y servicio, para fortalecer su posición competitiva y aumentar ventas sostenibles en Mercado Libre.

2) Acciones concretas para el equipo comercial  
- Realizar un análisis detallado del catálogo actual para identificar productos con baja rotación y ajustar la oferta enfocándose en los ítems con mayor demanda y margen de ganancia.  
- Implementar una estrategia dinámica de precios y promociones basada en el monitoreo competitivo y tendencias de mercado, asegurando precios atractivos sin sacrificar rentabilidad.  
- Coordinar con el seller mejoras en los tiempos de entrega y calidad del servicio postventa, estableciendo metas claras y seguimiento periódico para mantener la experiencia Diamante.  
- Capacitar al equipo del seller en el uso de herramientas de Mercado Libre para optimizar la gestión de inventarios y promociones, facilitando la toma de decisiones basada en datos.  
- Establecer revisiones quincenales para evaluar el desempeño de las acciones implementadas y ajustar la estrategia según resultados y feedback del mercado.

3) KPIs clave para evaluar el impacto  
- Incremento porcentual en la tasa de conversión y volumen de ventas mensuales.  
- Mejora en el índice de satisfacción del cliente y reducción de tiempos de entrega promedio.  
- Variación en el margen bruto promedio por producto tras ajustes de precios y promociones."
000bee3c3b,Long Tail,Top performance,"1) Objetivo principal  
Impulsar la evolución del seller 000bee3c3b, un vendedor Long Tail con desempeño top, hacia la categoría de 'Emerging Star' mediante una expansión controlada y estratégica de su catálogo, optimización del contenido de sus publicaciones para mejorar la tasa de conversión, y la implementación de campañas promocionales de bajo costo que permitan validar y potenciar su potencial de crecimiento en Mercado Libre.

2) Acciones concretas para el equipo comercial  
- Realizar un análisis detallado del catálogo actual del seller para identificar oportunidades de expansión en categorías relacionadas con alta demanda y baja competencia, priorizando la incorporación gradual de 3 a 5 nuevos SKUs mensuales.  
- Brindar soporte personalizado para la mejora del contenido de las publicaciones, incluyendo capacitación en fotografía, descripciones optimizadas y uso de palabras clave relevantes que incrementen la visibilidad y atractivo de los productos.  
- Diseñar y ejecutar campañas promocionales de bajo presupuesto (ej. descuentos, ofertas relámpago) enfocadas en los nuevos productos incorporados, midiendo su desempeño para validar la aceptación del mercado y ajustar la estrategia de inversión.  
- Establecer un seguimiento semanal con el seller para monitorear resultados, resolver dudas y ajustar tácticas comerciales en función de los aprendizajes obtenidos.  

3) KPIs clave para evaluar el impacto  
- Incremento porcentual mensual en el número de SKUs activos dentro del catálogo del seller.  
- Mejora en la tasa de conversión promedio de las publicaciones optimizadas (visitas a ventas).  
- Retorno sobre inversión (ROI) de las campañas promocionales de bajo costo implementadas."
00150d45aa,Long Tail,Diamante,"1) Objetivo principal  
Potenciar la rentabilidad y crecimiento sostenido del seller 00150d45aa, optimizando su oferta y competitividad en Mercado Libre, mediante ajustes estratégicos en catálogo, precios y servicio, alineados a su tamaño Long Tail y nivel Diamante, para consolidar su posicionamiento y maximizar la conversión.

2) Acciones concretas para el equipo comercial  
- Realizar un análisis detallado del catálogo actual para identificar productos con baja rotación o alta competencia, y recomendar la incorporación o promoción de ítems con mayor demanda y margen.  
- Implementar una revisión dinámica de precios, utilizando herramientas de benchmarking para ajustar precios competitivamente, y diseñar promociones puntuales que impulsen ventas sin erosionar rentabilidad.  
- Coordinar con el seller acciones mínimas de mejora en servicio, como optimización en tiempos de despacho y seguimiento postventa, para mantener y potenciar su nivel Diamante.  
- Capacitar al seller en el uso de herramientas de Mercado Libre para gestión de stock y promociones, asegurando una ejecución efectiva de las estrategias propuestas.  

3) KPIs clave para evaluar el impacto  
- Incremento porcentual en la tasa de conversión de visitas a ventas.  
- Mejora en el índice de satisfacción del cliente y mantenimiento del nivel Diamante.  
- Crecimiento en el volumen de ventas y margen bruto por categoría optimizada."
0021be2b0e,Core Seller,Top performance,"1) Objetivo principal  
Impulsar el crecimiento sostenido del seller 0021be2b0e, aprovechando su posición como Core Seller y su nivel de performance Top para escalar su presencia en categorías estratégicas, fortalecer su visibilidad mediante acciones de co-marketing y maximizar su volumen y calidad de ventas mediante incentivos alineados a objetivos de negocio.

2) Acciones concretas para el equipo comercial  
- Realizar un análisis detallado del portafolio actual del seller para identificar 2-3 categorías con alto potencial de crecimiento y baja competencia, y proponer planes específicos para aumentar su oferta y posicionamiento en esas categorías.  
- Diseñar y ejecutar campañas de co-marketing a escala media, combinando recursos de Mercado Libre y del seller, que incluyan promociones exclusivas, publicidad segmentada y contenidos destacados, para aumentar la visibilidad y el tráfico hacia sus productos.  
- Implementar un programa de incentivos escalables que premie el crecimiento en volumen de ventas y la mejora continua en indicadores de calidad (tasa de cumplimiento, calificaciones positivas, tiempos de despacho), con metas trimestrales claras y seguimiento mensual.  
- Capacitar al seller en mejores prácticas comerciales y uso de herramientas de Mercado Libre para optimizar la gestión de su catálogo, precios y atención al cliente, asegurando la sustentabilidad del crecimiento.  

3) KPIs clave para evaluar el impacto  
- Incremento porcentual en el volumen de ventas totales y por categorías identificadas.  
- Mejora en el índice de calidad del seller (calificaciones promedio, tasa de cumplimiento y tiempos de despacho).  
- Aumento en la tasa de conversión y tráfico generado a través de las campañas de co-marketing."
002483e29c,Long Tail,Low performance,"1) Objetivo principal  
Reducir la carga operativa manual en la gestión del seller 002483e29c, un vendedor de Long Tail con bajo desempeño, mediante la promoción de herramientas de autoservicio y recomendaciones básicas que impulsen mejoras graduales en su performance, sin requerir una inversión comercial intensiva. Esto permitirá optimizar recursos del equipo comercial y enfocar esfuerzos en sellers con mayor impacto.

2) Acciones concretas para el equipo comercial  
- Enviar comunicaciones automatizadas con recomendaciones básicas para mejorar la calidad de sus publicaciones, gestión de stock y atención al cliente, utilizando plantillas predefinidas.  
- Promover el uso de herramientas de autoservicio disponibles en la plataforma, como tutoriales, guías y cursos online, facilitando el acceso a recursos que potencien su desempeño.  
- Implementar un monitoreo periódico automatizado de indicadores clave del seller para detectar cualquier mejora significativa o deterioro en su performance.  
- Escalar a atención personalizada únicamente si se observa un cambio positivo sostenido en sus métricas o si el seller manifiesta interés explícito en recibir soporte adicional.  
- Limitar las intervenciones manuales del equipo comercial para optimizar el uso de recursos y mantener foco en sellers con mayor potencial de impacto.

3) KPIs clave para evaluar el impacto  
- Porcentaje de apertura y engagement en comunicaciones automatizadas enviadas al seller.  
- Variación en la cantidad y calidad de publicaciones activas del seller (ej. tasa de publicaciones completas y actualizadas).  
- Evolución del nivel de performance del seller en el tiempo (pasar de bajo a niveles medios o altos)."
0028bf6d73,Local Hero,Low performance,"1) Objetivo principal  
Mejorar el desempeño comercial del seller 0028bf6d73, de tamaño Local Hero y bajo nivel de performance, mediante una estrategia básica que optimice su catálogo, precios y servicio, con el fin de incrementar su visibilidad, competitividad y satisfacción del cliente en Mercado Libre.

2) Acciones concretas para el equipo comercial  
- Realizar un análisis rápido del catálogo actual para identificar productos con baja rotación y proponer la incorporación o promoción de artículos con mayor demanda en la categoría correspondiente.  
- Ajustar precios competitivos basados en un benchmarking sencillo con sellers similares y aprovechar promociones básicas (descuentos, envíos gratis) para atraer más compradores.  
- Implementar mejoras mínimas en el servicio, como garantizar tiempos de despacho claros y ofrecer respuestas ágiles a consultas, para mejorar la experiencia del cliente y reducir reclamos.  
- Capacitar brevemente al seller en el uso de herramientas de Mercado Libre para monitorear su performance y ajustar su oferta de forma autónoma.  

3) KPIs clave para evaluar impacto  
- Incremento en la tasa de conversión de visitas a ventas (%) en los próximos 30 días.  
- Reducción del tiempo promedio de despacho (días) y mejora en la calificación de atención al cliente.  
- Crecimiento en el volumen de ventas mensuales (%) respecto al período anterior."
00484b14b5,Local Hero,Top performance,"1) Objetivo principal  
Potenciar el crecimiento del seller 00484b14b5, un Local Hero con desempeño top, escalando su nicho rentable actual y consolidando su liderazgo local mediante una mayor visibilidad, diversificación estratégica del catálogo y aprovechamiento de oportunidades de cross-selling en categorías afines.

2) Acciones concretas para el equipo comercial  
- Realizar un análisis detallado de los best sellers del seller para identificar productos con mayor potencial de escalabilidad y diseñar campañas de marketing específicas que aumenten su visibilidad dentro del nicho.  
- Asesorar al seller en la incorporación de productos complementarios o relacionados que amplíen su oferta, basándose en datos de demanda y comportamiento de compra para maximizar la conversión.  
- Implementar promociones cruzadas (cross-sell) dentro de categorías afines para incentivar la compra múltiple y aumentar el ticket promedio.  
- Facilitar capacitaciones y recursos sobre optimización de fichas de producto y estrategias de posicionamiento para fortalecer su presencia local y mejorar la experiencia de compra.  
- Monitorear continuamente el desempeño comercial y ajustar tácticas en función de resultados y feedback del seller para mantener el liderazgo en su mercado local.

3) KPIs clave  
- Incremento porcentual en la visibilidad (impresiones y clics) de los productos best sellers.  
- Crecimiento en el número de SKUs activos relacionados añadidos al catálogo del seller.  
- Aumento del ticket promedio y tasa de conversión a través de acciones de cross-selling."
0059380655,Key Account,Low performance,"1) Objetivo principal  
Reducir el riesgo asociado al bajo desempeño del seller 0059380655, mediante un diagnóstico preciso de las causas que afectan su performance, para definir si se reactiva con un plan de mejora estructurado o se desprioriza la inversión comercial, asegurando así una asignación eficiente de recursos y maximización del retorno.

2) Acciones concretas para el equipo comercial  
- Realizar una reunión de diagnóstico con el seller para identificar las causas específicas del bajo desempeño, incluyendo análisis de catálogo, precios, calidad de atención y cumplimiento de métricas.  
- Diseñar y acordar un plan mínimo de remediación con hitos claros y plazos definidos, que incluya acciones concretas como optimización de listings, mejora en tiempos de respuesta y cumplimiento de envíos.  
- Establecer seguimiento semanal del avance del plan, con reportes de cumplimiento y ajustes necesarios para asegurar la mejora continua.  
- Evaluar el nivel de inversión comercial actual y, en función del progreso del plan, decidir si se mantiene, reduce o elimina dicha inversión para optimizar recursos.  
- Documentar todo el proceso para facilitar decisiones futuras sobre la continuidad o despriorización del seller.

3) KPIs clave para evaluar el impacto  
- Incremento en el nivel de performance del seller, medido a través del puntaje interno de desempeño.  
- Cumplimiento de hitos y plazos establecidos en el plan de remediación.  
- Variación en el volumen de ventas y tasa de conversión durante y después del plan de mejora."
006218fb3c,Key Account,Diamante,"1) Objetivo principal  
Consolidar y expandir la relación estratégica con el seller 006218fb3c, un Key Account con nivel Diamante, mediante un plan anual de co-marketing focalizado en eventos pico, la negociación de beneficios exclusivos y la exploración de oportunidades de exclusividad en categorías clave, para maximizar su participación en Mercado Libre y potenciar el crecimiento conjunto de ventas y posicionamiento.

2) Acciones concretas para el equipo comercial  
- Diseñar y presentar un plan anual de co-marketing alineado con los principales eventos pico del año (Cyber Monday, Hot Sale, Navidad), incluyendo campañas conjuntas, promociones exclusivas y contenido de valor para el cliente final.  
- Negociar beneficios exclusivos para el seller, tales como cuotas preferenciales, bundles especiales y acceso anticipado a lanzamientos de productos o funcionalidades dentro de la plataforma.  
- Identificar y proponer categorías clave donde el seller pueda obtener exclusividad o posicionamiento preferencial, asegurando ventajas competitivas y mayor visibilidad.  
- Establecer reuniones trimestrales de seguimiento para evaluar resultados, ajustar la estrategia y fortalecer la comunicación y colaboración continua con el seller.  
- Capacitar al equipo comercial en las particularidades del seller para personalizar la oferta y anticipar sus necesidades, fomentando una relación proactiva y de largo plazo.  

3) KPIs clave para evaluar el impacto  
- Incremento porcentual en las ventas del seller durante eventos pico en comparación con el año anterior.  
- Número y calidad de beneficios exclusivos negociados y activados (cuotas, bundles, lanzamientos anticipados).  
- Crecimiento en la participación de mercado del seller en las categorías clave con exclusividad o posicionamiento preferencial."
0067a5b1d8,Local Hero,Diamante,"1) Objetivo principal  
Maximizar el potencial de venta del seller 0067a5b1d8, un Local Hero con performance Diamante, mediante la optimización de su catálogo, precios y servicio, para consolidar su posición competitiva y aumentar su volumen de ventas en Mercado Libre.

2) Acciones concretas para el equipo comercial  
- Realizar un análisis detallado del catálogo actual para identificar productos con baja rotación y oportunidades de incorporación de artículos con alta demanda en la categoría correspondiente.  
- Ajustar precios estratégicamente, considerando el contexto competitivo local, para mejorar la competitividad sin afectar el margen, incluyendo la implementación de promociones puntuales que impulsen la conversión.  
- Coordinar con el seller la mejora de tiempos y calidad en la logística y atención al cliente, estableciendo indicadores mínimos de servicio que permitan mantener su nivel Diamante.  
- Capacitar al seller en el uso de herramientas de Mercado Libre para monitorear su performance y reaccionar rápidamente a cambios en la demanda o competencia.  

3) KPIs clave para evaluar el impacto  
- Incremento porcentual en el volumen de ventas mensuales.  
- Tasa de conversión promedio del catálogo optimizado.  
- Índice de satisfacción y nivel de servicio (calificaciones y tiempos de entrega)."
0076d7060e,Key Account,Top performance,"1) Objetivo principal  
Mantener el nivel de desempeño top del seller 0076d7060e, asegurando la continuidad de su crecimiento mediante la optimización de su participación en campañas comerciales y eventos clave, la expansión estratégica de su catálogo con SKUs de alta conversión y la maximización del retorno de inversión en visibilidad según la rentabilidad por categoría.

2) Acciones concretas para el equipo comercial  
- Revisar y ajustar el calendario de campañas y eventos para el seller, priorizando su participación en fechas con mayor tráfico y conversión, asegurando una comunicación anticipada para una preparación óptima.  
- Analizar el historial de ventas y conversión de SKUs actuales para identificar oportunidades de expansión del catálogo con productos complementarios o variantes que hayan demostrado alta demanda.  
- Implementar un monitoreo semanal del rendimiento de inversión en visibilidad por categoría, redirigiendo presupuesto hacia aquellas con mejor rentabilidad y ajustando pujas en tiempo real para maximizar el ROI.  
- Coordinar con el equipo de marketing acciones personalizadas de promoción para los productos estrella del seller durante campañas, potenciando su exposición y ventas.  
- Realizar sesiones periódicas de feedback con el seller para identificar barreras y oportunidades, alineando estrategias comerciales con sus objetivos y capacidades operativas.

3) KPIs clave  
- Incremento porcentual en ventas durante campañas y eventos clave respecto al periodo anterior.  
- Tasa de conversión promedio de los SKUs nuevos incorporados al catálogo.  
- Retorno sobre inversión (ROI) de la inversión en visibilidad por categoría."
01626cea6a,Core Seller,Low performance,"1) Objetivo principal  
Mejorar el desempeño comercial del seller 01626cea6a, un Core Seller con bajo rendimiento, mediante una estrategia básica que optimice su oferta, precios y servicio, alineada a su capacidad operativa, para incrementar su visibilidad, atraer más compradores y mejorar la conversión en Mercado Libre.

2) Acciones concretas para el equipo comercial  
- Realizar un análisis rápido del catálogo actual del seller para identificar productos con baja demanda o sin ventas, y recomendar la eliminación o sustitución por artículos con mayor potencial basado en tendencias y demanda del mercado.  
- Asesorar al seller en la optimización de precios, sugiriendo ajustes competitivos que consideren precios promedio del mercado y promociones puntuales (como descuentos o envíos gratis) para mejorar la atracción de compradores.  
- Proponer mejoras sencillas en la logística y atención al cliente, como asegurar tiempos de despacho dentro de los estándares de Mercado Libre y responder consultas en menos de 24 horas, para elevar la experiencia del comprador y reducir reclamos.  
- Capacitar al seller en el uso básico de herramientas de Mercado Libre para monitorear su desempeño y ajustar su oferta y precios de forma autónoma.  

3) KPIs clave para evaluar el impacto  
- Incremento en el volumen de ventas mensuales (% de crecimiento respecto al periodo anterior).  
- Reducción del tiempo promedio de despacho y mejora en la calificación de atención al cliente.  
- Aumento en la tasa de conversión (visitas a ventas) del catálogo optimizado."
